72493 OAK Oakland Int Observations at 00Z 01 Jul 2017

-----------------------------------------------------------------------------
  PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   hPa     m      C      C      %    g/kg    deg   knot     K      K      K
-----------------------------------------------------------------------------
 1014.0      3   17.2   12.5     74   9.05    230     10  289.2  314.9  290.8
 1000.0    123   15.2   10.6     74   8.08    250     12  288.4  311.3  289.8
 983.0     268   13.2    8.7     74   7.23    246     12  287.8  308.3  289.0
 978.7     305   13.3    8.4     72   7.12    245     12  288.2  308.5  289.5
 966.0     415   13.6    7.6     67   6.82    250     11  289.6  309.2  290.8
 947.0     585   20.4    6.4     40   6.40    259      8  298.1  317.3  299.3
 944.2     610   20.6    6.0     39   6.25    260      8  298.6  317.3  299.7
 937.0     677   21.0    5.0     35   5.87    275     10  299.7  317.4  300.7
 930.0     742   24.0    6.0     31   6.34    290     12  303.4  322.8  304.5
 925.0     789   24.4    5.4     29   6.11    300     14  304.2  323.0  305.4
 923.0     808   24.4    5.4     29   6.13    301     14  304.4  323.3  305.6
 914.0     894   26.0    0.0     18   4.20    304     15  306.9  320.2  307.7
 911.9     914   25.8    0.1     19   4.25    305     15  307.0  320.4  307.8
 880.5    1219   23.4    2.1     25   5.08    280     11  307.5  323.5  308.5
 851.0    1516   21.0    4.0     33   6.02    309      9  308.0  326.8  309.1
 850.0    1526   21.0    4.0     33   6.03    310      9  308.1  327.0  309.2
 826.0    1773   19.0   -1.0     26   4.32    310     10  308.6  322.3  309.4
 820.6    1829   19.0   -7.4     16   2.69    310     10  309.1  317.9  309.6
 815.0    1888   19.0  -14.0      9   1.60    309      9  309.7  315.1  310.0
 791.9    2134   19.8  -19.0      6   1.08    305      6  313.1  316.9  313.3
 791.0    2144   19.8  -19.2      6   1.06    305      6  313.2  317.0  313.4
 764.1    2438   17.6  -22.5      5   0.83    310      6  314.0  317.0  314.2
 737.2    2743   15.4  -25.9      4   0.63    335      6  314.8  317.1  314.9
 723.0    2908   14.2  -27.8      4   0.54    322      6  315.2  317.2  315.4
 712.0    3037   14.2  -30.8      3   0.41    312      6  316.6  318.2  316.7
 700.0    3180   13.2  -31.8      3   0.38    300      6  317.1  318.5  317.1
 661.0    3658   10.4  -32.8      3   0.37    290      9  319.2  320.6  319.3
 636.0    3979    8.6  -33.4      3   0.36    269      6  320.6  322.0  320.7
 614.0    4267    6.2  -27.0      7   0.69    250      4  321.1  323.6  321.2
 591.5    4572    3.6  -20.2     16   1.31    265     10  321.5  326.2  321.8
 585.0    4662    2.8  -18.2     20   1.57    255     10  321.6  327.2  321.9
 569.6    4877    1.0  -22.4     16   1.12    230     10  322.0  326.0  322.2
 566.0    4929    0.6  -23.4     15   1.03    229     11  322.1  325.8  322.3
 530.0    5452   -4.1  -23.1     21   1.13    216     16  322.6  326.6  322.8
 527.7    5486   -4.2  -25.9     17   0.89    215     16  322.8  326.1  323.0
 518.0    5632   -4.7  -37.7      6   0.29    220     16  323.9  325.1  324.0
 500.0    5910   -6.1  -40.1      5   0.23    230     16  325.5  326.5  325.6
 488.2    6096   -7.5  -37.5      7   0.31    235     19  326.1  327.3  326.1
 488.0    6099   -7.5  -37.5      7   0.31    235     19  326.1  327.3  326.1
 450.4    6706  -12.8  -39.7      9   0.27    255     21  327.0  328.1  327.0
 407.0    7472  -19.5  -42.5     11   0.22    255     16  327.9  328.8  328.0
 400.0    7600  -20.7  -37.7     20   0.37    255     15  328.0  329.5  328.1
 398.9    7620  -20.8  -37.3     21   0.39    255     16  328.1  329.6  328.2
 398.0    7637  -20.9  -36.9     22   0.41    255     16  328.2  329.8  328.3
 377.0    8036  -24.1  -45.1     13   0.18    255     23  329.1  329.9  329.1
 351.9    8534  -28.8  -45.8     18   0.18    255     31  329.4  330.1  329.4
 340.0    8781  -31.1  -46.1     21   0.18    251     28  329.4  330.2  329.5
 333.0    8929  -31.9  -50.9     13   0.11    249     27  330.3  330.8  330.3
 322.9    9144  -33.4  -53.0     12   0.09    245     24  331.1  331.5  331.1
 300.0    9660  -37.1  -58.1      9   0.05    260     23  333.0  333.2  333.0
 299.0    9683  -37.1  -58.1      9   0.05    261     23  333.3  333.5  333.3
 295.9    9754  -37.7  -58.6      9   0.05    265     22  333.4  333.6  333.4
 279.0   10157  -41.3  -61.3     10   0.04    276     27  333.9  334.1  333.9
 265.0   10507  -41.5  -70.5      3   0.01    286     32  338.6  338.6  338.6
 258.7   10668  -42.3  -70.5      3   0.01    290     34  339.7  339.7  339.7
 250.0   10900  -43.5  -70.5      3   0.01    275     38  341.3  341.3  341.3
 217.0   11833  -51.1  -72.1      6   0.01    266     48  343.6  343.6  343.6
 215.2   11887  -51.2  -72.5      6   0.01    265     49  344.2  344.2  344.2
 200.0   12360  -52.5  -75.5      5   0.01    260     71  349.5  349.5  349.5
 198.0   12425  -52.6  -76.0      4   0.01    265     71  350.4  350.4  350.4
 195.8   12497  -52.7  -76.5      4   0.01    265     71  351.3  351.4  351.3
 195.0   12524  -52.7  -76.7      4   0.01    265     71  351.7  351.7  351.7
 184.0   12898  -54.7  -78.7      4   0.00    264     67  354.3  354.4  354.3
 176.0   13183  -55.1  -83.1      2   0.00    263     64  358.2  358.2  358.2
 174.0   13257  -54.3  -83.3      2   0.00    263     63  360.7  360.7  360.7
 168.0   13482  -54.5  -85.5      1   0.00    262     61  364.0  364.0  364.0
 153.0   14076  -59.5  -88.5      1   0.00    260     55  365.3  365.3  365.3
 150.0   14200  -59.9  -89.9      1   0.00    260     54  366.7  366.7  366.7
 147.0   14326  -60.7  -90.2      1   0.00    270     56  367.5  367.5  367.5
 143.0   14496  -61.7  -90.7      1   0.00    266     50  368.6  368.6  368.6
 140.0   14627  -61.1  -90.1      1   0.00    263     45  371.9  371.9  371.9
 135.0   14851  -62.5  -90.5      1   0.00    257     37  373.3  373.3  373.3
 133.2   14935  -61.7  -89.7      1   0.00    255     34  376.2  376.2  376.2
 132.0   14990  -61.1  -89.1      1   0.00    257     34  378.2  378.2  378.2
 130.0   15084  -61.3  -88.3      2   0.00    260     35  379.5  379.5  379.5
 126.7   15240  -62.6  -88.6      2   0.00    265     36  379.9  379.9  379.9
 115.0   15831  -67.7  -89.7      3   0.00    280     31  381.1  381.1  381.1
 114.6   15850  -67.6  -89.7      3   0.00    280     33  381.6  381.6  381.6
 111.0   16043  -66.9  -89.9      3   0.00    277     27  386.5  386.5  386.5
 109.0   16154  -67.4  -90.4      3   0.00    275     23  387.7  387.7  387.7
 105.0   16377  -68.3  -91.3      2   0.00    260     24  390.0  390.0  390.0
 103.0   16492  -66.9  -89.9      3   0.00    252     24  394.9  394.9  394.9
 100.0   16670  -66.7  -89.7      3   0.00    240     25  398.6  398.6  398.6
  96.2   16905  -64.9  -88.9      2   0.00    257     21  406.5  406.6  406.5
  86.1   17580  -66.1  -92.1      2   0.00    307     11  417.2  417.2  417.2
  76.6   18288  -65.5  -93.0      1   0.00      0      0  432.6  432.6  432.6
  73.5   18542  -65.3  -93.3      1   0.00     58      3  438.2  438.2  438.2
  72.3   18642  -63.9  -91.9      1   0.00     80      4  443.2  443.2  443.2
  70.2   18823  -64.7  -92.7      1   0.00    121      6  445.3  445.3  445.3
  70.0   18840  -64.7  -92.7      1   0.00    125      6  445.6  445.6  445.6
  63.5   19441  -60.7  -91.7      1   0.00    103      9  467.0  467.0  467.0
  59.8   19812  -60.3  -91.3      1   0.00     90     11  475.9  475.9  475.9
  54.4   20407  -59.7  -90.7      1   0.00     82      8  490.4  490.4  490.4
  51.2   20789  -56.3  -88.3      1   0.00     77      7  506.9  506.9  506.9
  50.0   20940  -56.3  -88.3      1   0.00     75      6  510.4  510.4  510.4
  47.0   21336  -56.2  -88.2      1   0.00     80     13  519.8  519.9  519.8
  44.8   21641  -56.1  -88.1      1   0.00     75     15  527.2  527.3  527.2
  42.7   21946  -56.0  -88.0      1   0.00    115     14  534.8  534.8  534.8
  41.3   22156  -55.9  -87.9      1   0.00     77     14  540.0  540.0  540.0
  40.7   22250  -55.6  -87.7      1   0.00     60     14  543.0  543.1  543.0
  38.8   22555  -54.6  -86.9      1   0.01     90     20  552.9  553.0  552.9
  33.7   23470  -51.7  -84.6      1   0.01    110      1  583.6  583.7  583.6
  33.4   23521  -51.5  -84.5      1   0.01     96      3  585.4  585.5  585.4
  32.1   23774  -51.2  -84.6      1   0.01     30     12  592.7  592.8  592.7
  30.0   24220  -50.7  -84.7      1   0.01     65     16  605.8  605.9  605.8
