72493 OAK Oakland Int Observations at 00Z 08 Feb 2018

-----------------------------------------------------------------------------
  PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
   hPa     m      C      C      %    g/kg    deg   knot     K      K      K
-----------------------------------------------------------------------------
 1022.0      3   22.4    9.4     44   7.29     10      3  293.7  315.0  295.0
 1015.0     64   21.4    6.4     38   5.97     29      4  293.3  310.8  294.4
 1000.0    194   20.2    5.2     37   5.57     70      5  293.4  309.8  294.3
 987.1     305   19.3    4.5     38   5.38     90      2  293.5  309.4  294.5
 952.6     610   16.7    2.6     39   4.89    125      4  293.9  308.5  294.8
 948.0     651   16.4    2.4     39   4.82    141      4  294.0  308.3  294.9
 936.0     759   17.0   -5.0     22   2.83    182      5  295.7  304.4  296.2
 925.0     860   17.2   -5.8     20   2.69    220      5  296.9  305.3  297.4
 921.0     897   17.4   -7.6     17   2.35    213      6  297.5  304.9  297.9
 919.1     914   17.3   -7.8     17   2.33    210      6  297.5  304.8  297.9
 886.6    1219   15.6  -11.1     15   1.86    200     11  298.8  304.7  299.1
 859.0    1487   14.0  -14.0     13   1.52    223      9  299.9  304.8  300.2
 850.0    1576   13.8  -15.2     12   1.39    230      8  300.6  305.1  300.8
 828.0    1796   13.6  -15.4     12   1.40    269      3  302.6  307.3  302.9
 824.8    1829   13.4  -15.1     12   1.44    275      2  302.8  307.6  303.1
 795.3    2134   12.0  -12.0     17   1.92    240      5  304.4  310.7  304.8
 795.0    2137   12.0  -12.0     17   1.93    241      5  304.5  310.8  304.8
 766.7    2438    9.3  -12.9     19   1.86      0      3  304.8  310.9  305.1
 763.0    2478    9.0  -13.0     20   1.85      9      3  304.8  310.9  305.2
 744.0    2687    8.8  -14.2     18   1.72     53      4  306.8  312.5  307.1
 738.9    2743    8.4  -14.2     19   1.74     65      4  307.0  312.7  307.3
 700.0    3187    5.2  -13.8     24   1.89      5      5  308.2  314.5  308.6
 696.0    3234    5.0  -13.0     26   2.03      5      5  308.5  315.2  308.9
 660.4    3658    2.4  -16.4     23   1.62      0      7  310.3  315.7  310.6
 612.4    4267   -1.3  -21.3     20   1.15      5      8  312.8  316.8  313.0
 612.0    4272   -1.3  -21.3     20   1.15      5      8  312.8  316.8  313.0
 566.9    4877   -6.0  -24.1     22   0.97     20      6  314.2  317.6  314.4
 564.0    4917   -6.3  -24.3     23   0.95     20      6  314.3  317.7  314.5
 502.0    5819  -11.7  -33.7     14   0.44     10      9  318.4  320.0  318.4
 500.0    5850  -11.9  -32.9     16   0.48     10      9  318.5  320.3  318.6
 483.9    6096  -14.1  -34.1     17   0.44     10      9  318.8  320.4  318.9
 438.0    6845  -20.7  -37.7     20   0.34    357     12  319.6  320.9  319.7
 403.0    7456  -24.5  -46.5     11   0.15    346     14  322.4  323.0  322.4
 400.0    7510  -24.9  -46.9     11   0.14    345     14  322.5  323.1  322.6
 393.9    7620  -25.9  -47.9     11   0.13    345     14  322.7  323.2  322.7
 360.0    8264  -31.5  -53.5     10   0.07    360     15  323.6  323.9  323.6
 330.0    8870  -37.1  -53.1     17   0.08     14     16  324.0  324.4  324.0
 317.0    9144  -39.3  -54.9     18   0.07     20     16  324.7  325.0  324.7
 300.0    9520  -42.3  -57.3     18   0.06     15     18  325.6  325.9  325.6
 291.0    9726  -44.1  -58.1     20   0.05      8     17  325.9  326.1  325.9
 264.3   10363  -49.3  -63.3     18   0.03    345     13  327.4  327.5  327.4
 250.0   10730  -52.3  -66.3     17   0.02    335     19  328.2  328.3  328.2
 242.0   10939  -53.9  -68.9     14   0.01    331     22  328.9  328.9  328.9
 240.7   10973  -54.2  -69.0     14   0.01    330     22  328.9  329.0  328.9
 218.4   11582  -59.2  -71.1     20   0.01      5     24  330.4  330.4  330.4
 206.0   11949  -62.3  -72.3     25   0.01    358     28  331.1  331.2  331.1
 200.0   12130  -63.3  -74.3     21   0.01    355     30  332.4  332.4  332.4
 198.0   12192  -63.5  -74.4     21   0.01      0     36  333.0  333.0  333.0
 188.4   12497  -64.7  -75.0     23   0.01     10     27  335.9  336.0  335.9
 183.0   12675  -65.3  -75.3     24   0.01      5     27  337.7  337.7  337.7
 181.0   12743  -65.1  -75.1     24   0.01      1     28  339.1  339.1  339.1
 179.0   12811  -63.7  -74.7     21   0.01    357     29  342.4  342.5  342.4
 171.0   13092  -64.3  -76.3     18   0.01    341     33  345.9  346.0  345.9
 170.6   13106  -64.1  -76.3     17   0.01    340     33  346.5  346.6  346.5
 168.0   13201  -62.5  -76.5     14   0.01    341     33  350.7  350.7  350.7
 155.0   13698  -64.1  -81.1      8   0.00    345     30  356.1  356.1  356.1
 154.6   13716  -64.0  -81.1      8   0.00    345     30  356.6  356.6  356.6
 150.0   13900  -63.1  -81.1      7   0.00    345     44  361.2  361.2  361.2
 147.1   14021  -63.0  -81.5      7   0.00    345     44  363.4  363.4  363.4
 144.0   14151  -62.9  -81.9      6   0.00    349     42  365.8  365.8  365.8
 139.9   14326  -63.7  -82.7      6   0.00    355     40  367.4  367.4  367.4
 139.0   14368  -63.9  -82.9      6   0.00    353     40  367.7  367.7  367.7
 133.0   14639  -62.3  -82.3      5   0.00    342     38  375.2  375.2  375.2
 126.7   14935  -64.8  -84.8      5   0.00    330     37  375.9  375.9  375.9
 126.0   14970  -65.1  -85.1      5   0.00    331     37  376.0  376.0  376.0
 120.5   15240  -65.0  -85.5      4   0.00    335     38  381.0  381.0  381.0
 114.0   15579  -64.9  -85.9      4   0.00    338     31  387.3  387.3  387.3
 109.0   15850  -66.3  -86.5      4   0.00    340     26  389.7  389.7  389.7
 102.0   16251  -68.3  -87.3      5   0.00    336     34  393.3  393.3  393.3
 101.0   16310  -67.9  -86.9      5   0.00    336     36  395.1  395.2  395.1
 100.0   16370  -66.1  -86.1      5   0.00    335     37  399.8  399.8  399.8
  97.7   16512  -64.7  -85.7      4   0.00    333     36  405.1  405.2  405.1
  93.9   16753  -66.1  -86.1      5   0.00    329     35  407.0  407.0  407.0
  85.2   17345  -64.7  -86.7      3   0.00    320     31  421.3  421.3  421.3
  75.3   18097  -66.3  -87.3      4   0.00    308     27  433.1  433.1  433.1
  73.6   18236  -65.1  -87.1      3   0.00    306     26  438.4  438.5  438.4
  73.0   18288  -65.5  -87.5      3   0.00    305     26  438.6  438.7  438.6
  70.9   18463  -66.9  -88.9      3   0.00    291     27  439.3  439.3  439.3
  70.0   18540  -66.3  -88.3      3   0.00    285     27  442.2  442.2  442.2
  69.6   18575  -66.3  -88.3      3   0.00    288     26  442.9  442.9  442.9
  69.4   18593  -66.4  -88.3      3   0.00    290     25  443.2  443.2  443.2
  65.9   18898  -67.4  -88.8      3   0.00    290     37  447.4  447.4  447.4
  59.6   19507  -69.5  -89.6      4   0.00    320     38  455.9  455.9  455.9
  59.0   19563  -69.7  -89.7      4   0.00    319     36  456.7  456.7  456.7
  56.6   19812  -69.4  -89.4      4   0.00    315     28  462.8  462.8  462.8
  53.8   20117  -69.1  -89.1      4   0.00    335     30  470.4  470.4  470.4
  53.5   20145  -69.1  -89.1      4   0.00    336     30  471.1  471.1  471.1
  51.7   20350  -67.5  -88.5      4   0.00    340     30  479.4  479.4  479.4
  50.0   20550  -67.7  -88.7      4   0.00    345     30  483.5  483.6  483.5
  46.4   21000  -67.7  -88.7      4   0.00    340     25  494.0  494.0  494.0
  46.2   21031  -67.4  -88.7      3   0.00    340     25  495.4  495.4  495.4
  43.9   21336  -64.6  -88.3      3   0.00    350     32  509.5  509.5  509.5
  43.7   21364  -64.3  -88.3      2   0.00    350     32  510.8  510.9  510.8
  40.4   21843  -65.7  -87.7      3   0.00    353     33  518.9  518.9  518.9
  37.8   22250  -62.9  -87.7      2   0.00    355     34  535.9  536.0  535.9
  37.6   22283  -62.7  -87.7      2   0.00    357     33  537.3  537.4  537.3
  36.8   22417  -60.3  -87.3      2   0.01      3     30  546.8  546.9  546.8
  36.0   22555  -61.0  -87.3      2   0.01     10     26  548.5  548.6  548.5
  35.6   22623  -61.3  -87.3      2   0.01      9     25  549.4  549.5  549.4
  32.8   23134  -59.5  -87.5      2   0.01    357     18  567.2  567.2  567.2
  31.1   23470  -60.8  -87.6      2   0.01    350     14  572.4  572.5  572.4
  30.0   23690  -61.7  -87.7      2   0.01    350     17  575.9  575.9  575.9
  28.6   23986  -62.9  -87.9      2   0.01    344     20  580.5  580.5  580.5
  26.8   24384  -62.6  -88.4      2   0.01    335     23  592.2  592.2  592.2
